label,endpoint,horizon,ci,fold_std,fold_min,rho_with_anchor_component_oof
NIT_plus_scores__hepatic__h1__lgbm_binary,hepatic,1.0,0.6564328935621466,0.11358348183930164,0.4294820717131474,0.7223403420433216
v3_hepatic_schema__hepatic__h3__lgbm_binary__s4,hepatic,3.0,0.7314419865754059,0.14098877303371138,0.44738778513612953,0.9156842630118198
current_state_v2__death__h5__catboost_binary__s3,death,5.0,0.9170586988768807,0.0335079660088969,0.8542372881355932,0.9476986430737875
NIT_plus_scores__death__h4__catboost_binary,death,4.0,0.8250476795931342,0.0586243909642683,0.6868044515103339,0.8039240027581176
