endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min,cindex_max,cindex_mean_minus_halfsd
hepatic,rsf,current_state_v2_hepatic_aug,moderate-high,15,0.812863807545866,0.11779954107889584,0.5920318725099601,0.9522357723577236,0.753964037006418
hepatic,xgb_aft,current_state_v2_hepatic_aug,moderate-high,15,0.7815811997850877,0.11291262184192682,0.5415746872700515,0.9247967479674797,0.7251248888641243
hepatic,xgb_cox,current_state_v2_hepatic_aug,moderate-high,15,0.7600874468922849,0.14295740611247307,0.4900662251655629,0.948170731707317,0.6886087438360484
hepatic,rsf,current_state_v2_hepatic_aug,moderate-high,15,0.8148571121014216,0.11058262035467488,0.6,0.9512195121951219,0.7595658019240842
hepatic,xgb_aft,current_state_v2_hepatic_aug,moderate-high,15,0.7815811997850877,0.11291262184192682,0.5415746872700515,0.9247967479674797,0.7251248888641243
hepatic,xgb_cox,current_state_v2_hepatic_aug,moderate-high,15,0.7593754779974504,0.1427983638868463,0.47410358565737054,0.948170731707317,0.6879762960540272
hepatic,rsf,current_state_v2_hepatic_aug,moderate-high,15,0.815479011470326,0.11470803311420828,0.602390438247012,0.9552845528455285,0.7581249949132218
hepatic,xgb_aft,current_state_v2_hepatic_aug,moderate-high,15,0.7815811997850877,0.11291262184192682,0.5415746872700515,0.9247967479674797,0.7251248888641243
hepatic,xgb_cox,current_state_v2_hepatic_aug,moderate-high,15,0.7595482126483707,0.14480121717290728,0.48047808764940236,0.9542682926829268,0.6871476040619171
death,rsf,current_state_v2_hepatic_aug,moderate-high,15,0.9294195063791846,0.02307399478675258,0.8840885142255005,0.9722799722799723,0.9178825089858083
death,xgb_aft,current_state_v2_hepatic_aug,moderate-high,15,0.9197568674964383,0.029466921080563247,0.8505997818974919,0.9603174603174603,0.9050234069561567
death,xgb_cox,current_state_v2_hepatic_aug,moderate-high,15,0.9378762822483385,0.028218886082152766,0.8624641833810889,0.9836423118865867,0.9237668392072621
death,rsf,current_state_v2_hepatic_aug,moderate-high,15,0.9264785878064491,0.02332777116929856,0.8767123287671232,0.9722799722799723,0.9148147022217998
death,xgb_aft,current_state_v2_hepatic_aug,moderate-high,15,0.9197568674964383,0.029466921080563247,0.8505997818974919,0.9603174603174603,0.9050234069561567
death,xgb_cox,current_state_v2_hepatic_aug,moderate-high,15,0.9416745063260732,0.02222663858007959,0.8882521489971347,0.9781897491821155,0.9305611870360334
death,rsf,current_state_v2_hepatic_aug,moderate-high,15,0.9297428335920033,0.023693045892124023,0.8830347734457323,0.9702009702009702,0.9178963106459412
death,xgb_aft,current_state_v2_hepatic_aug,moderate-high,15,0.9197568674964383,0.029466921080563247,0.8505997818974919,0.9603174603174603,0.9050234069561567
death,xgb_cox,current_state_v2_hepatic_aug,moderate-high,15,0.9379041343798791,0.026449170802532562,0.8825214899713467,0.9760087241003271,0.9246795489786128
