blend,alpha,side,source,hep_oof,death_oof,weighted_oof,hep_fold_std,hep_fold_min,dea_fold_std,dea_fold_min,rho_h_test_anchor,rho_d_test_anchor,delta_w_vs_anchor,delta_h_vs_anchor,delta_d_vs_anchor
alpha=0.95_hep_only,0.95,hep_only,hep_ranker,0.8502463379955693,0.9537190082644628,0.8812881390762373,0.11038084856674134,0.5953488372093023,0.012349294597071831,0.9269356597600873,0.9994850337946604,1.0,0.00016202096352879725,0.0002314585193268215,0.0
alpha=0.9_hep_only,0.9,hep_only,hep_ranker,0.8497999537082961,0.9537190082644628,0.880975670075146,0.11189173214521987,0.5968992248062015,0.012349294597071831,0.9269356597600873,0.9979613007848314,1.0,-0.00015044803756247838,-0.0002149257679463501,0.0
alpha=0.85_hep_only,0.85,hep_only,hep_ranker,0.8493701021724035,0.9537190082644628,0.8806747740000213,0.11340174622802224,0.5937984496124031,0.012349294597071831,0.9269356597600873,0.9951798021629246,1.0,-0.0004513441126872131,-0.0006447773038389393,0.0
alpha=0.8_hep_only,0.8,hep_only,hep_ranker,0.8485765301061403,0.9537190082644628,0.880119273553637,0.11461477067084722,0.5922480620155038,0.012349294597071831,0.9269356597600873,0.9912638392839538,1.0,-0.001006844559071518,-0.001438349370102121,0.0
alpha=0.75_hep_only,0.75,hep_only,hep_ranker,0.847171246238799,0.9537190082644628,0.8791355748464981,0.11555307569638042,0.5906976744186047,0.012349294597071831,0.9269356597600873,0.9859833217618207,1.0,-0.0019905432662103983,-0.0028436332374434103,0.0
capped=0.05_hep_only,0.95,hep_only,capped,0.8502463379955693,0.9537190082644628,0.8812881390762373,0.11038084856674134,0.5953488372093023,0.012349294597071831,0.9269356597600873,0.9994850337946604,1.0,0.00016202096352879725,0.0002314585193268215,0.0
capped=0.10_hep_only,0.9,hep_only,capped,0.8497999537082961,0.9537190082644628,0.880975670075146,0.11189173214521987,0.5968992248062015,0.012349294597071831,0.9269356597600873,0.9979613007848314,1.0,-0.00015044803756247838,-0.0002149257679463501,0.0
capped=0.15_hep_only,0.85,hep_only,capped,0.8493701021724035,0.9537190082644628,0.8806747740000213,0.11340174622802224,0.5937984496124031,0.012349294597071831,0.9269356597600873,0.9951798021629246,1.0,-0.0004513441126872131,-0.0006447773038389393,0.0
capped=0.20_hep_only,0.8,hep_only,capped,0.8485765301061403,0.9537190082644628,0.880119273553637,0.11461477067084722,0.5922480620155038,0.012349294597071831,0.9269356597600873,0.9912638392839538,1.0,-0.001006844559071518,-0.001438349370102121,0.0
capped=0.25_hep_only,0.75,hep_only,capped,0.847171246238799,0.9537190082644628,0.8791355748464981,0.11555307569638042,0.5906976744186047,0.012349294597071831,0.9269356597600873,0.9859833217618207,1.0,-0.0019905432662103983,-0.0028436332374434103,0.0
