label,feature_set,endpoint,horizon_years,model,mode,seed,n_features,n_usable_train,n_positive_train,horizon_auc,surv_cindex_mean,surv_cindex_std,surv_cindex_min,wall_seconds,rho_oof_anchor,rho_test_anchor
current_state_v2__death__h5__catboost_binary__downweight__s2,current_state_v2,death,5.0,catboost_binary,downweight,2,222,1253,16,0.9383084074373484,0.9008688281415554,0.030158079848704868,0.8327683615819209,8.536149501800537,0.7393803524309913,0.8894893655072955
current_state_v2__death__h5__catboost_binary__downweight__s3,current_state_v2,death,5.0,catboost_binary,downweight,3,222,1253,16,0.9532639450282943,0.9255350709896164,0.038911448190793924,0.836423118865867,8.27330756187439,0.7748541893520741,0.8704578187636629
current_state_v2__death__h5__catboost_binary__downweight__s4,current_state_v2,death,5.0,catboost_binary,downweight,4,222,1253,16,0.94517987065481,0.9037931765204492,0.03769689229127196,0.8192090395480226,8.645001411437988,0.7678439768703085,0.8807907519201829
current_state_v2__death__h5p5__catboost_binary__downweight__s1,current_state_v2,death,5.5,catboost_binary,downweight,1,222,1253,16,0.9281022635408246,0.8912481457936003,0.04495569868717234,0.7807909604519774,8.915716648101807,0.7073187489910732,0.8528971279227652
current_state_v2__death__h5p5__catboost_binary__downweight__s2,current_state_v2,death,5.5,catboost_binary,downweight,2,222,1253,16,0.947908245755861,0.9122271667726213,0.03255182325517415,0.8451977401129943,8.543258666992188,0.7614698724992385,0.8844521160855224
current_state_v2__death__h5p5__catboost_binary__downweight__s3,current_state_v2,death,5.5,catboost_binary,downweight,3,222,1253,16,0.9503334680679063,0.9090061453697817,0.04361158444528186,0.7960741548527808,8.510754585266113,0.7199200268405159,0.861676284228277
current_state_v2__death__h5p5__catboost_binary__downweight__s4,current_state_v2,death,5.5,catboost_binary,downweight,4,222,1253,16,0.9194624090541633,0.8975630430175885,0.03838265465721149,0.8090395480225989,8.135469675064087,0.6960529649186998,0.8609112869521429
current_state_v2__death__h6p5__catboost_binary__s1,current_state_v2,death,6.5,catboost_binary,exclude,1,222,424,20,0.9706683168316831,0.8939605848696758,0.0409084420358174,0.7898305084745763,8.426664590835571,0.7858553604640912,0.9015702976211993
current_state_v2__death__h6p5__catboost_binary__s2,current_state_v2,death,6.5,catboost_binary,exclude,2,222,424,20,0.9685643564356434,0.8965034965034965,0.026186566483980357,0.8519774011299435,7.8822619915008545,0.7900954994961692,0.9003737308972649
current_state_v2__death__h6p5__catboost_binary__s3,current_state_v2,death,6.5,catboost_binary,exclude,3,222,424,20,0.9706683168316832,0.9012502648866285,0.04040181530743872,0.8067796610169492,7.968490362167358,0.7921956172248482,0.9013667211439855
current_state_v2__death__h6p5__catboost_binary__s4,current_state_v2,death,6.5,catboost_binary,exclude,4,222,424,20,0.9678217821782179,0.8849756304301759,0.045443254316729104,0.7774011299435029,8.092370748519897,0.7709982434272864,0.8923686091414083
