label,feature_set,endpoint,horizon_years,model,mode,seed,n_features,n_usable_train,n_positive_train,horizon_auc,surv_cindex_mean,surv_cindex_std,surv_cindex_min,wall_seconds,rho_oof_v3,rho_test_v3
v3_hepatic_schema__hepatic__h5__lgbm_binary,v3_hepatic_schema,hepatic,5.0,lgbm_binary,exclude,0,215,573,25,0.7862043795620438,0.7317561088516351,0.13382955714613362,0.449800796812749,0.0,0.4697774794060672,0.6125154822764797
v3_hepatic_schema__hepatic__h5__catboost_binary,v3_hepatic_schema,hepatic,5.0,catboost_binary,exclude,0,215,573,25,0.7947445255474452,0.7311939953046986,0.11778720978199672,0.5402390438247012,0.0,0.4885831528893334,0.6574782962741699
v3_hepatic_schema__hepatic__h5__xgb_binary,v3_hepatic_schema,hepatic,5.0,xgb_binary,exclude,0,215,573,25,0.7618978102189782,0.7130575670403069,0.1420762252402324,0.450199203187251,0.0,0.4705844305213511,0.6145945308323234
current_state_v2__death__h5__lgbm_binary,current_state_v2,death,5.0,lgbm_binary,exclude,0,222,595,16,0.9736614853195165,0.8585505403687221,0.0440266081087542,0.7619047619047619,0.0,0.7467425073809508,0.8046095494747976
current_state_v2__death__h5__catboost_binary,current_state_v2,death,5.0,catboost_binary,exclude,0,222,595,16,0.9804620034542314,0.9031998304725577,0.048548653569020106,0.7807909604519774,0.0,0.7876212544039766,0.8967873794291892
current_state_v2__death__h5__xgb_binary,current_state_v2,death,5.0,xgb_binary,exclude,0,222,595,16,0.977979274611399,0.8749735113371477,0.03796861647108385,0.8135593220338984,0.0,0.7180769571916508,0.7703921261866975
NIT_plus_scores__death__h5__lgbm_binary,NIT_plus_scores,death,5.0,lgbm_binary,exclude,0,55,595,16,0.8875215889464594,0.8463657554566646,0.05547045663174327,0.7190332326283988,0.0,0.6514853425364525,0.6632295424724918
NIT_plus_scores__death__h5__catboost_binary,NIT_plus_scores,death,5.0,catboost_binary,exclude,0,55,595,16,0.91213298791019,0.8562831108285653,0.060333528125585484,0.685214626391097,0.0,0.6015898051008332,0.5987558763594628
NIT_plus_scores__death__h5__xgb_binary,NIT_plus_scores,death,5.0,xgb_binary,exclude,0,55,595,16,0.8976683937823835,0.855138800593346,0.05433196376569638,0.7297297297297297,0.0,0.6335880388149648,0.6507200508560905
biomarker_only__death__h5__lgbm_binary,biomarker_only,death,5.0,lgbm_binary,exclude,0,127,595,16,0.9057642487046632,0.8696333969061242,0.03142605658763118,0.7884405670665212,0.0,0.6324276648116363,0.7021599841102641
biomarker_only__death__h5__catboost_binary,biomarker_only,death,5.0,catboost_binary,exclude,0,127,595,16,0.9075993091537133,0.8636575545666455,0.061391567551484345,0.7459105779716467,0.0,0.573650451173787,0.655981647672084
biomarker_only__death__h5__xgb_binary,biomarker_only,death,5.0,xgb_binary,exclude,0,127,595,16,0.9398747841105355,0.8863742318287773,0.03220898499549579,0.8108108108108109,0.0,0.6413025478016742,0.6775588559491347
v3_hepatic_schema__death__h5__lgbm_binary,v3_hepatic_schema,death,5.0,lgbm_binary,exclude,0,215,595,16,0.9017702936096719,0.8630218266581903,0.026292237510661867,0.824773413897281,0.0,0.6657681152060696,0.7344091839645743
v3_hepatic_schema__death__h5__catboost_binary,v3_hepatic_schema,death,5.0,catboost_binary,exclude,0,215,595,16,0.9206606217616581,0.8776011866920957,0.035643197483850746,0.7898305084745763,0.0,0.6880495449780415,0.744290889598083
v3_hepatic_schema__death__h5__xgb_binary,v3_hepatic_schema,death,5.0,xgb_binary,exclude,0,215,595,16,0.9284326424870466,0.8833439287984742,0.027308048360009253,0.821939586645469,0.0,0.68436808300462,0.7167606536693083
current_state_v2__hepatic__h2__lgbm_binary,current_state_v2,hepatic,2.0,lgbm_binary,exclude,0,222,992,15,0.660661890139884,0.6746519855834407,0.12399996795473833,0.44860557768924303,1.821758508682251,0.30954554741973267,0.3864514146662582
current_state_v2__hepatic__h2__catboost_binary,current_state_v2,hepatic,2.0,catboost_binary,exclude,0,222,992,15,0.6694643466393723,0.6814138808980591,0.12359607382812249,0.48366533864541833,8.019403219223022,0.3598272329581286,0.4334652141072791
current_state_v2__hepatic__h2__xgb_binary,current_state_v2,hepatic,2.0,xgb_binary,exclude,0,222,992,15,0.6622313203684749,0.6751645008762358,0.1259908382072049,0.4159362549800797,88.08610153198242,0.3266147885131514,0.41653935209407894
NIT_plus_scores__hepatic__h2__lgbm_binary,NIT_plus_scores,hepatic,2.0,lgbm_binary,exclude,0,55,992,15,0.712589559877175,0.6900605098700526,0.09873823253414138,0.5083665338645418,1.140329360961914,0.2309365386693959,0.24515348461412106
