label,feature_set,endpoint,horizon_years,model,mode,seed,n_features,n_usable_train,n_positive_train,horizon_auc,surv_cindex_mean,surv_cindex_std,surv_cindex_min,wall_seconds,rho_oof_v3,rho_test_v3
NIT_plus_scores__hepatic__h6__xgb_binary,NIT_plus_scores,hepatic,6.0,xgb_binary,exclude,0,55,467,30,0.838977879481312,0.728036239791026,0.12924453182578235,0.4964143426294821,24.803576469421387,0.4167072465280271,0.538340077993256
biomarker_only__hepatic__h6__lgbm_binary,biomarker_only,hepatic,6.0,lgbm_binary,exclude,0,127,467,30,0.8585049580472922,0.721555401249876,0.12315906785821244,0.45179282868525894,1.1857054233551025,0.4150583345198607,0.5856410090543966
biomarker_only__hepatic__h6__catboost_binary,biomarker_only,hepatic,6.0,catboost_binary,exclude,0,127,467,30,0.8413424866514113,0.7250272790397778,0.12938204209895418,0.46294820717131474,5.764044284820557,0.4248819704247317,0.5891552400648653
biomarker_only__hepatic__h6__xgb_binary,biomarker_only,hepatic,6.0,xgb_binary,exclude,0,127,467,30,0.8382151029748284,0.7094534272393612,0.1242547490283256,0.45657370517928286,36.629698276519775,0.41664315047980444,0.5681085398746705
v3_hepatic_schema__hepatic__h6__lgbm_binary,v3_hepatic_schema,hepatic,6.0,lgbm_binary,exclude,0,215,467,30,0.8514874141876431,0.7194392090731739,0.12927673027096523,0.4701195219123506,1.2427926063537598,0.44150102302229244,0.5962060574466184
v3_hepatic_schema__hepatic__h6__catboost_binary,v3_hepatic_schema,hepatic,6.0,catboost_binary,exclude,0,215,467,30,0.8740655987795576,0.7459577422874715,0.11410363771652769,0.5227091633466135,8.196330070495605,0.4492322111064473,0.6279628780513481
v3_hepatic_schema__hepatic__h6__xgb_binary,v3_hepatic_schema,hepatic,6.0,xgb_binary,exclude,0,215,467,30,0.8505720823798627,0.728036239791026,0.1307213591523229,0.49243027888446217,7.833327054977417,0.4300979209053818,0.5883038337699764
current_state_v2__death__h4__lgbm_binary,current_state_v2,death,4.0,lgbm_binary,exclude,0,222,729,10,0.9214186369958275,0.8792752701843611,0.0532123315423532,0.729607250755287,1.012474536895752,0.7233943440562174,0.812649870626267
current_state_v2__death__h4__catboost_binary,current_state_v2,death,4.0,catboost_binary,exclude,0,222,729,10,0.9552155771905425,0.9091332909514728,0.038863103872698285,0.8350282485875706,8.206044673919678,0.7846381389199406,0.8505783638195544
current_state_v2__death__h4__xgb_binary,current_state_v2,death,4.0,xgb_binary,exclude,0,222,729,10,0.9353268428372741,0.8721763085399449,0.04859268915143999,0.7817460317460317,27.704514503479004,0.7107068890346495,0.7603105699298369
NIT_plus_scores__death__h4__lgbm_binary,NIT_plus_scores,death,4.0,lgbm_binary,exclude,0,55,729,10,0.8235048678720446,0.8332909514727697,0.05486180544480422,0.6993957703927492,0.7672426700592041,0.5162813508194258,0.5741556202161266
NIT_plus_scores__death__h4__catboost_binary,NIT_plus_scores,death,4.0,catboost_binary,exclude,0,55,729,10,0.9205841446453407,0.8351345624072897,0.059532904467168225,0.7106518282988871,3.6513891220092773,0.4926031857364102,0.5009355363621014
NIT_plus_scores__death__h4__xgb_binary,NIT_plus_scores,death,4.0,xgb_binary,exclude,0,55,729,10,0.8351877607788596,0.8112735749099386,0.07256868572106352,0.6450151057401813,1.9706752300262451,0.5657821711263857,0.5670137944891203
biomarker_only__death__h4__lgbm_binary,biomarker_only,death,4.0,lgbm_binary,exclude,0,127,729,10,0.8956884561891516,0.8288832379741471,0.05827851052053919,0.698595146871009,0.8754162788391113,0.58813068800911,0.6764636016007683
biomarker_only__death__h4__catboost_binary,biomarker_only,death,4.0,catboost_binary,exclude,0,127,729,10,0.9073713490959667,0.8223352405170588,0.05280035066297707,0.723404255319149,5.766735076904297,0.5070794201754372,0.6022144574763219
biomarker_only__death__h4__xgb_binary,biomarker_only,death,4.0,xgb_binary,exclude,0,127,729,10,0.8609179415855355,0.8190294553930918,0.06183411891971055,0.6628352490421456,30.9209086894989,0.6091011940226958,0.6937340725454728
v3_hepatic_schema__death__h4__lgbm_binary,v3_hepatic_schema,death,4.0,lgbm_binary,exclude,0,215,729,10,0.845201668984701,0.8386946386946387,0.04965991949420618,0.7507552870090635,1.0429773330688477,0.6320543224807568,0.6717934706716567
v3_hepatic_schema__death__h4__catboost_binary,v3_hepatic_schema,death,4.0,catboost_binary,exclude,0,215,729,10,0.913769123783032,0.8567493112947658,0.03421002242599816,0.8045197740112995,7.98351263999939,0.6326856570205092,0.6838849486676951
v3_hepatic_schema__death__h4__xgb_binary,v3_hepatic_schema,death,4.0,xgb_binary,exclude,0,215,729,10,0.85326842837274,0.8363212545030727,0.04995146948724163,0.7435028248587571,27.57168459892273,0.6401887010454641,0.682735232844421
current_state_v2__death__h6__lgbm_binary,current_state_v2,death,6.0,lgbm_binary,exclude,0,222,491,20,0.9158174097664544,0.8942996397541852,0.039489436781354685,0.8155802861685215,1.112170696258545,0.729669977416653,0.854546758248106
current_state_v2__death__h6__catboost_binary,current_state_v2,death,6.0,catboost_binary,exclude,0,222,491,20,0.9722929936305733,0.9179063360881543,0.030425144636744506,0.8564971751412429,8.151554822921753,0.8200908152315082,0.9041134387336132
current_state_v2__death__h6__xgb_binary,current_state_v2,death,6.0,xgb_binary,exclude,0,222,491,20,0.9376857749469214,0.8841279932189023,0.029265352468982955,0.8271186440677966,23.98905062675476,0.7263124845045422,0.81103370455793
NIT_plus_scores__death__h6__lgbm_binary,NIT_plus_scores,death,6.0,lgbm_binary,exclude,0,55,491,20,0.9166666666666667,0.8661157024793389,0.05098117025405825,0.7583465818759937,0.7781145572662354,0.6210307243397583,0.6442924869761295
NIT_plus_scores__death__h6__catboost_binary,NIT_plus_scores,death,6.0,catboost_binary,exclude,0,55,491,20,0.8975583864118896,0.8577240940877304,0.03892497174084271,0.7472178060413355,3.4984381198883057,0.6077035239341705,0.6252309707583621
NIT_plus_scores__death__h6__xgb_binary,NIT_plus_scores,death,6.0,xgb_binary,exclude,0,55,491,20,0.9253715498938428,0.8650561559652469,0.05025869929516133,0.7472178060413355,5.050131320953369,0.5937496382426707,0.6234172530226736
biomarker_only__death__h6__lgbm_binary,biomarker_only,death,6.0,lgbm_binary,exclude,0,127,491,20,0.9192144373673037,0.8770926043653317,0.036590674134599654,0.8026172300981461,0.9159574508666992,0.597797194484765,0.7079647687371295
biomarker_only__death__h6__catboost_binary,biomarker_only,death,6.0,catboost_binary,exclude,0,127,491,20,0.9358811040339703,0.8798262343716889,0.0382127063904758,0.8233369683751364,5.714761257171631,0.5680727527127436,0.6559245701437963
