id,model,feature_set,n_folds,mean_cindex,std_cindex,ci95_lo,ci95_hi,ci95_width,n_bootstrap
rsf_baseline_v1,rsf,baseline_v1,50,0.8056679816282478,0.0861044483035133,0.7827458928681652,0.8290621716722079,0.0463162788040426,1000
xgb_cox_baseline_v1,xgb_cox,baseline_v1,50,0.7907056358264489,0.0839467129505194,0.7679061304287301,0.8145741777044527,0.0466680472757226,1000
rsf_nit_only_baseline_only,rsf,nit_only_baseline_only,50,0.7751853567486888,0.0809894336053469,0.7523337724718171,0.7978070352157386,0.0454732627439214,1000
rsf_early_v1_v3,rsf,early_v1_v3,50,0.7718394738568591,0.0931027178609025,0.7463997353966862,0.7970037287789455,0.0506039933822592,1000
catboost_bin_early_v1_v3,catboost_bin,early_v1_v3,50,0.7498299239729397,0.0845888629185504,0.7264081634845564,0.7725572082047949,0.0461490447202385,1000
coxnet_baseline_v1,coxnet,baseline_v1,50,0.726948241638662,0.1013396870188142,0.7022689183028166,0.7537863552364971,0.0515174369336804,1000
rsf_longitudinal_summary,rsf,longitudinal_summary,50,0.8276667897115924,0.09210363074572418,0.8027223551897761,0.8534307962036315,0.05070844101385541,1000
xgb_cox_longitudinal_summary,xgb_cox,longitudinal_summary,50,0.7880711601319486,0.09312249949404205,0.7632673000536494,0.8132911401508547,0.050023840097205285,1000
xgb_cox_longitudinal_plus_meta,xgb_cox,longitudinal_plus_meta,50,0.7881352891542103,0.09589283086749209,0.7631268130329973,0.8152013902345477,0.0520745772015504,1000
lgbm_bin_longitudinal_plus_meta,lgbm_bin,longitudinal_plus_meta,50,0.7269971035670106,0.08695158409647119,0.7031603544960202,0.7509810444768159,0.047820689980795694,1000
