feature,importance,suspicious
bilirubin_mean,0.14342728539410413,False
triglyc_max,0.14330746457804466,False
plt_min,0.13886057566241716,False
bilirubin_std,0.13526282771878295,False
chol_latest,0.11943848512597083,False
triglyc_rel_delta,0.11750437661882843,False
miss_visit_2,0.1145904015296351,True
fibs_stiffness_med_BM_1_age_latest,0.11352158201116429,False
miss_gluc_fast,0.10683396051842299,False
x_fib4_apri_latest,0.10663881229204318,False
ast_rel_delta,0.10540969125244021,False
plt_rel_delta,0.09765926167532235,False
fibrotest_BM_2_age_latest,0.092276190298227,False
miss_ggt,0.08793905277658398,False
triglyc_first,0.08713395622098087,False
miss_visit_9,0.08672670021816838,True
ast_first,0.08457739798624814,False
x_stiffness_fib4_latest,0.08353335861332244,False
bilirubin_first,0.07816043914421243,False
BMI_latest,0.07116874107129006,False
chol_age_latest,0.070605953464984,False
bilirubin_latest,0.07007618783110159,False
miss_ast,0.0678866947838002,False
triglyc_age_latest,0.06466598045793329,False
miss_visit_4,0.06244070704127726,True
ggt_age_latest,0.06134117166022872,False
miss_visit_6,0.060153607973080704,True
miss_visit_12,0.05511353952998768,True
apri_v1,0.05392044608588527,False
triglyc_last,0.05256200632566571,False
plt_std,0.05206061615999397,False
fib4_v1,0.05151031025967511,False
fibrotest_BM_2_slope,0.05027758903712762,False
miss_visit_8,0.04975317459287849,True
ast_alt_ratio_v1,0.04659462657639781,False
chol_slope,0.046525683772623894,False
plt_age_latest,0.04561681040824475,False
miss_BMI,0.042371957394964604,False
ggt_std,0.04003392187639759,False
plt_first,0.027493443260249745,False
miss_visit_14,0.02748339042773775,True
alt_age_latest,0.026356488589301254,False
miss_visit_13,0.024052856653128337,True
miss_chol,0.02130413058305276,False
alt_min,0.014524000075177434,False
miss_aixp_aix_result_BM_3,0.009851190624784243,False
chol_delta,0.008077051875495166,False
miss_visit_16,0.006514053637272056,True
chol_last,0.006403106441950913,False
apri_v3,0.00615684892973747,False
bariatric_surgery_age,0.00521671920310717,False
miss_visit_10,0.004422852320767247,True
gluc_fast_delta,0.001237551993047815,False
miss_fibrotest_BM_2,0.0011922757263034176,False
fibs_stiffness_med_BM_1_slope,0.0011680902724627172,False
miss_visit_17,0.0009495393420831483,True
bilirubin_max,0.0,False
chol_rel_delta,0.0,False
miss_visit_15,0.0,True
miss_visit_11,0.0,True
miss_visit_5,0.0,True
miss_visit_21,0.0,True
miss_visit_18,0.0,True
miss_visit_22,0.0,True
miss_visit_19,0.0,True
miss_visit_20,0.0,True
