feature,importance,suspicious
fibs_stiffness_med_BM_1_median,0.07060826569795609,False
bilirubin_rel_delta,0.023314066231250763,False
fibs_stiffness_med_BM_1_min,0.021143341436982155,False
fibs_stiffness_med_BM_1_mean,0.019864393398165703,False
fibrotest_BM_2_max,0.019040988758206367,False
fibs_stiffness_med_BM_1_first,0.0189987700432539,False
aixp_aix_result_BM_3_min,0.017337843775749207,False
T2DM,0.017053667455911636,False
aixp_aix_result_BM_3_last,0.016741154715418816,False
ast_min,0.01667320542037487,False
BMI_rel_delta,0.015415466390550137,False
aixp_aix_result_BM_3_median,0.01531225349754095,False
triglyc_std,0.013671823777258396,False
ast_mean,0.012835527770221233,False
BMI_first,0.012175682000815868,False
Hypertension,0.011895481497049332,False
gluc_fast_slope,0.01185996551066637,False
bariatric_surgery,0.011456944048404694,False
chol_max,0.010637964121997356,False
bilirubin_slope,0.010473856702446938,False
BMI_max,0.010313039645552635,False
gluc_fast_max,0.010202562436461449,False
triglyc_slope,0.01018495112657547,False
plt_min,0.00999156292527914,False
chol_median,0.009840837679803371,False
fibrotest_BM_2_mean,0.009832442738115788,False
aixp_aix_result_BM_3_mean,0.00982040073722601,False
BMI_last,0.009757447987794876,False
plt_max,0.009737306274473667,False
gluc_fast_last,0.009639165364205837,False
plt_first,0.009592878632247448,False
ggt_median,0.009575115516781807,False
chol_mean,0.009275560267269611,False
Dyslipidaemia,0.009262059815227985,False
ggt_first,0.0092332037165761,False
alt_mean,0.008913029916584492,False
gluc_fast_delta,0.00890989787876606,False
fibrotest_BM_2_std,0.008762515150010586,False
fibrotest_BM_2_first,0.008730108849704266,False
ast_slope,0.008520001545548439,False
plt_last,0.008482328616082668,False
chol_first,0.008401287719607353,False
aixp_aix_result_BM_3_first,0.00823760125786066,False
chol_min,0.008192869834601879,False
fibrotest_BM_2_last,0.008045846596360207,False
alt_max,0.008028734475374222,False
gluc_fast_mean,0.007891747169196606,False
BMI_delta,0.007866103202104568,False
alt_delta,0.007859093137085438,False
triglyc_delta,0.007784476038068533,False
gluc_fast_std,0.007647598162293434,False
fibrotest_BM_2_min,0.0076263658702373505,False
bilirubin_last,0.007559267338365316,False
BMI_slope,0.007520786952227354,False
fibrotest_BM_2_delta,0.007252375595271587,False
ggt_max,0.0072247846983373165,False
fibs_stiffness_med_BM_1_std,0.007208075374364853,False
aixp_aix_result_BM_3_slope,0.006860209163278341,False
plt_slope,0.0068104807287454605,False
ggt_std,0.006667733192443848,False
plt_mean,0.006552406121045351,False
ggt_last,0.006456712726503611,False
alt_first,0.0064549935050308704,False
fibrotest_BM_2_median,0.006357597652822733,False
ast_median,0.0062855565920472145,False
ast_std,0.006265601143240929,False
ggt_rel_delta,0.006171470042318106,False
ggt_mean,0.006152804475277662,False
bilirubin_first,0.006094588898122311,False
alt_median,0.006056167185306549,False
aixp_aix_result_BM_3_rel_delta,0.006012497935444117,False
Age_v1,0.005862484686076641,False
gluc_fast_first,0.00578529154881835,False
alt_min,0.005750558339059353,False
ggt_min,0.005738713778555393,False
ast_last,0.005507433786988258,False
gluc_fast_median,0.00547024654224515,False
ggt_slope,0.0053900242783129215,False
fibs_stiffness_med_BM_1_last,0.005300620570778847,False
aixp_aix_result_BM_3_delta,0.005271200556308031,False
alt_rel_delta,0.005240578204393387,False
gluc_fast_rel_delta,0.00518472446128726,False
BMI_min,0.005126107484102249,False
bilirubin_delta,0.005092526786029339,False
chol_delta,0.005071174819022417,False
triglyc_max,0.005034330300986767,False
ast_rel_delta,0.004925141576677561,False
fibs_stiffness_med_BM_1_rel_delta,0.004892188590019941,False
BMI_median,0.0047661131247878075,False
BMI_std,0.004760625306516886,False
aixp_aix_result_BM_3_std,0.004636684432625771,False
alt_slope,0.004603532142937183,False
fibrotest_BM_2_slope,0.0045436834916472435,False
chol_slope,0.004539478570222855,False
alt_last,0.004523458890616894,False
bilirubin_min,0.004403466358780861,False
fibs_stiffness_med_BM_1_delta,0.004169101361185312,False
plt_std,0.004128932487219572,False
fibs_stiffness_med_BM_1_slope,0.004065198358148336,False
bilirubin_std,0.004051668103784323,False
chol_last,0.0040412964299321175,False
plt_median,0.004021198023110628,False
triglyc_min,0.003954902291297913,False
triglyc_first,0.003739002626389265,False
triglyc_rel_delta,0.0036515817046165466,False
ast_max,0.003648685058578849,False
ggt_delta,0.0036475693341344595,False
triglyc_last,0.003542565042153001,False
ast_delta,0.0034606491681188345,False
triglyc_median,0.003441581968218088,False
alt_std,0.003331985790282488,False
chol_std,0.0030599553138017654,False
fibs_stiffness_med_BM_1_max,0.0029458545614033937,False
fibrotest_BM_2_rel_delta,0.002935912925750017,False
aixp_aix_result_BM_3_max,0.002902584383264184,False
plt_rel_delta,0.002890283241868019,False
bilirubin_max,0.0027839625254273415,False
gender,0.0026912689208984375,False
chol_rel_delta,0.0025831882376223803,False
bilirubin_mean,0.0023403747472912073,False
plt_delta,0.0022281077690422535,False
gluc_fast_min,0.002217560773715377,False
ast_first,0.002165659563615918,False
triglyc_mean,0.0020285313948988914,False
BMI_mean,0.0016577228670939803,False
bilirubin_median,0.001619840390048921,False
bariatric_surgery_age,0.0,False
