feature,importance,suspicious
ggt_min,0.02770865708589554,False
miss_fibs_stiffness_med_BM_1,0.024958224967122078,False
ggt_latest,0.023436743766069412,False
ast_alt_ratio_v3,0.022649206221103668,False
BMI_max,0.02209705114364624,False
fibrotest_BM_2_std,0.021725093945860863,False
chol_age_latest,0.019974039867520332,False
followup_span,0.019204607233405113,True
plt_latest,0.01729927957057953,False
fib4_v1,0.01505900640040636,False
x_stiffness_astalt_latest,0.014839881099760532,False
miss_visit_3,0.013314113020896912,True
ggt_last,0.01293740700930357,False
triglyc_latest,0.012909685261547565,False
miss_Age,0.012676171958446503,False
miss_total,0.012661227025091648,True
chol_std,0.01257177721709013,False
alt_mean,0.012500107288360596,False
plt_max,0.01134331151843071,False
bilirubin_median,0.011267835274338722,False
triglyc_first,0.011073828674852848,False
miss_visit_9,0.010673225857317448,True
BMI_median,0.00954808946698904,False
aixp_aix_result_BM_3_slope,0.009443537332117558,False
fib4_slope,0.009428402408957481,False
fibrotest_BM_2_mean,0.00924463476985693,False
plt_median,0.00920162908732891,False
bilirubin_age_latest,0.009176650084555149,False
x_aixp_fib4_latest,0.009168477728962898,False
ggt_rel_delta,0.009015741758048534,False
fibrotest_BM_2_median,0.008984310552477837,False
Age_v1,0.008886652067303658,False
fibs_stiffness_med_BM_1_mean,0.0088513707742095,False
miss_alt,0.008181015029549599,False
gap_max,0.008008163422346115,True
fibrotest_BM_2_last,0.007880880497395992,False
x_fibrotest_stiffness_latest,0.007736626081168652,False
ast_latest,0.007253210060298443,False
chol_max,0.007170512340962887,False
fibs_stiffness_med_BM_1_max,0.007003807928413153,False
miss_visit_6,0.006736043840646744,True
fibs_stiffness_med_BM_1_median,0.006716753821820021,False
miss_visit_13,0.006671098526567221,True
chol_delta,0.006511007435619831,False
aixp_aix_result_BM_3_age_latest,0.0064734891057014465,False
x_fib4_apri_latest,0.0062949215061962605,False
n_visits,0.006214822642505169,True
fibs_stiffness_med_BM_1_last,0.0059392619878053665,False
plt_first,0.005933305248618126,False
bilirubin_mean,0.005758851300925016,False
ggt_std,0.0057575032114982605,False
x_stiffness_age_latest,0.005650373641401529,False
ast_median,0.0055917296558618546,False
apri_v1,0.005553382448852062,False
alt_delta,0.005548111163079739,False
fibrotest_BM_2_min,0.005416663363575935,False
ast_min,0.0052979676984250546,False
x_stiffness_fib4_latest,0.005238923244178295,False
fibs_stiffness_med_BM_1_latest,0.005063817836344242,False
alt_slope,0.0050392113626003265,False
fibs_stiffness_med_BM_1_min,0.005036856513470411,False
ast_max,0.005022591445595026,False
aixp_aix_result_BM_3_std,0.004936588928103447,False
ggt_slope,0.00492805615067482,False
triglyc_last,0.004896566737443209,False
apri_latest,0.004811054561287165,False
gap_mean,0.004694254603236914,True
fibs_stiffness_med_BM_1_age_latest,0.004683033097535372,False
chol_last,0.004573863465338945,False
miss_visit_7,0.004536538850516081,True
bilirubin_max,0.004462235141545534,False
triglyc_delta,0.004286697134375572,False
fibrotest_BM_2_first,0.004266335163265467,False
age_last_visit,0.0041792262345552444,True
BMI_latest,0.004160785116255283,False
gluc_fast_median,0.004116022028028965,False
fibrotest_BM_2_max,0.004104638006538153,False
BMI_slope,0.004067492205649614,False
triglyc_median,0.0040129125118255615,False
apri_slope,0.003982667811214924,False
gluc_fast_slope,0.00397865567356348,False
gluc_fast_std,0.003957253415137529,False
gluc_fast_mean,0.003893802175298333,False
