endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min,experiment,death_target_mode,dir,cindex_max,cindex_mean_minus_halfsd,score_for_hepatic_priority
death,rsf,baseline_v1,low,25,0.8076898765044844,0.0604102948621869,0.6937590711175616,001_baseline_v1_drop_missing_death,drop_missing_death,20260426_1618_001_baseline_v1_drop_missing_death,,,0.777484729073391
death,rsf,first_1y,low,15,0.8093780107901811,0.0648671402399277,0.6628352490421456,phase2_first_1y,censor_missing_death_at_last_visit,20260426_1807_phase2_first_1y,0.913728432108027,0.7769444406702173,0.7769444406702173
death,rsf,first_3_visits,low,15,0.7999227886860203,0.0632998957893876,0.7039007092198581,phase2_first_3_visits,censor_missing_death_at_last_visit,20260426_1815_phase2_first_3_visits,0.8875661375661376,0.7682728407913264,0.7682728407913265
death,xgb_cox,first_2y,low,15,0.7914055540126679,0.0490704724965509,0.7033957033957033,phase2_first_2y,censor_missing_death_at_last_visit,20260426_1810_phase2_first_2y,0.88113413304253,0.7668703177643924,0.7668703177643924
death,coxnet,baseline_v1,low,25,0.7911563478848852,0.0563621785546364,0.6880199667221298,002_baseline_v1_censor_missing_death,censor_missing_death_at_last_visit,20260426_1619_002_baseline_v1_censor_missing_death,,,0.762975258607567
death,rsf,clinical_scores_dynamic,low,15,0.7932085304060913,0.064090374195126,0.670061099796334,phase2_clinical_scores_dynamic,censor_missing_death_at_last_visit,20260426_1806_phase2_clinical_scores_dynamic,0.903954802259887,0.7611633433085283,0.7611633433085283
death,coxnet,baseline_v1,low,25,0.7895947883524275,0.0569047672320126,0.6871880199667221,001_baseline_v1_drop_missing_death,drop_missing_death,20260426_1618_001_baseline_v1_drop_missing_death,,,0.7611424047364211
death,lgbm_binary,all_visits_longitudinal,high,15,0.7871202938822507,0.0524459441633744,0.7120343839541547,004_all_visits_longitudinal,censor_missing_death_at_last_visit,20260426_1632_004_all_visits_longitudinal,,,0.7608973218005635
death,xgb_cox,baseline_plus_landmark_trends,low,15,0.7815343539007364,0.0571121527513874,0.644955300127714,phase2_baseline_plus_landmark_trends,censor_missing_death_at_last_visit,20260426_1803_phase2_baseline_plus_landmark_trends,0.8829707426856714,0.7529782775250426,0.7529782775250428
death,lgbm_binary,aggressive_longitudinal,moderate-high,15,0.7737339179097114,0.0561114278093799,0.664756446991404,phase2_aggressive_longitudinal,censor_missing_death_at_last_visit,20260426_1758_phase2_aggressive_longitudinal,0.8747186796699175,0.7456782040050214,0.7456782040050214
death,xgb_cox,first_3_visits,low,15,0.7742451907779702,0.058045912683913,0.6463276836158192,phase2_first_3_visits,censor_missing_death_at_last_visit,20260426_1815_phase2_first_3_visits,0.8413897280966768,0.7452222344360137,0.7452222344360137
death,xgb_cox,early_v1_v3,low/moderate,25,0.7734520248101141,0.0596489829037165,0.6471631205673759,003_early_v1_v3,censor_missing_death_at_last_visit,20260426_1620_003_early_v1_v3,,,0.7436275333582558
death,xgb_cox,baseline_v1,low,25,0.7664903740962957,0.0532841419833592,0.6812278630460449,002_baseline_v1_censor_missing_death,censor_missing_death_at_last_visit,20260426_1619_002_baseline_v1_censor_missing_death,,,0.7398483031046161
death,lgbm_binary,longitudinal_no_followup_proxies,moderate,15,0.7699102443711382,0.0608263848842211,0.6418338108882522,phase2_longitudinal_no_followup_proxies,censor_missing_death_at_last_visit,20260426_1826_phase2_longitudinal_no_followup_proxies,0.8942598187311178,0.7394970519290276,0.7394970519290276
death,xgb_cox,baseline_v1,low,25,0.7621101488127437,0.0552551296376244,0.6422668240850059,001_baseline_v1_drop_missing_death,drop_missing_death,20260426_1618_001_baseline_v1_drop_missing_death,,,0.7344825839939315
death,lgbm_binary,full_high_risk,high,15,0.7660842312682985,0.0639233551026305,0.6418338108882522,007_full_high_risk,censor_missing_death_at_last_visit,20260426_1637_007_full_high_risk,,,0.7341225537169832
death,lgbm_binary,strict_time_aligned,low/moderate,15,0.7594425007692364,0.0616373243557489,0.6160458452722063,006_strict_time_aligned,censor_missing_death_at_last_visit,20260426_1636_006_strict_time_aligned,,,0.7286238385913619
death,catboost_binary,full_high_risk,high,15,0.7575816863459075,0.0588198065382507,0.678298800436205,007_full_high_risk,censor_missing_death_at_last_visit,20260426_1637_007_full_high_risk,,,0.7281717830767821
death,lgbm_binary,NIT_plus_clinical_scores,low/moderate,15,0.7574496342115109,0.0604384026461562,0.6590257879656161,005_NIT_plus_clinical_scores,censor_missing_death_at_last_visit,20260426_1635_005_NIT_plus_clinical_scores,,,0.7272304328884328
death,xgb_binary,longitudinal_no_followup_proxies,moderate,15,0.7581238946845296,0.064603116618823,0.6648936170212766,phase2_longitudinal_no_followup_proxies,censor_missing_death_at_last_visit,20260426_1826_phase2_longitudinal_no_followup_proxies,0.8867069486404834,0.7258223363751181,0.7258223363751181
death,catboost_binary,strict_time_aligned,low/moderate,15,0.7564390978059083,0.0628890630002354,0.6249062265566392,006_strict_time_aligned,censor_missing_death_at_last_visit,20260426_1636_006_strict_time_aligned,,,0.7249945663057906
death,catboost_binary,all_visits_longitudinal,high,15,0.7553619166358351,0.0661053419738189,0.6203438395415473,004_all_visits_longitudinal,censor_missing_death_at_last_visit,20260426_1632_004_all_visits_longitudinal,,,0.7223092456489256
