endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min,cindex_max,cindex_mean_minus_halfsd
hepatic,rsf,NIT_plus_scores_longitudinal,moderate,15,0.8029885772917752,0.11921016493423453,0.602390438247012,0.9651162790697675,0.7433834948246579
hepatic,xgb_cox,NIT_plus_scores_longitudinal,moderate,15,0.7711342383106333,0.1311885258434192,0.5171314741035856,0.9563008130081301,0.7055399753889238
hepatic,lgbm_binary,NIT_plus_scores_longitudinal,moderate,15,0.7589690549999109,0.12054060341832798,0.5829457364341085,0.9491279069767442,0.6986987532907468
hepatic,catboost_binary,NIT_plus_scores_longitudinal,moderate,15,0.6953568229014956,0.13790616165136274,0.5090225563909775,0.9622093023255814,0.6264037420758142
hepatic,xgb_binary,NIT_plus_scores_longitudinal,moderate,15,0.7498767593181502,0.115932061858571,0.5674418604651162,0.9197154471544715,0.6919107283888647
death,rsf,NIT_plus_scores_longitudinal,moderate,15,0.8552359252280144,0.03393423880392512,0.8028616852146264,0.9234808702175544,0.8382688058260518
death,xgb_cox,NIT_plus_scores_longitudinal,moderate,15,0.870324636707775,0.03627161031817758,0.8211559432933478,0.9417989417989417,0.8521888315486863
death,lgbm_binary,NIT_plus_scores_longitudinal,moderate,15,0.7512259533354754,0.062411449888430545,0.6553980370774264,0.8849206349206349,0.7200202283912601
death,catboost_binary,NIT_plus_scores_longitudinal,moderate,15,0.7033502573061532,0.06989058973612303,0.6121530382595649,0.8477119279819955,0.6684049624380917
death,xgb_binary,NIT_plus_scores_longitudinal,moderate,15,0.720122843981596,0.06745112140678154,0.6117478510028653,0.8624338624338624,0.6863972832782053
