endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min,cindex_max,cindex_mean_minus_halfsd
hepatic,rsf,aggressive_longitudinal,moderate-high,15,0.804516082079099,0.10417538909561888,0.5984496124031008,0.9563953488372093,0.7524283875312895
hepatic,xgb_cox,aggressive_longitudinal,moderate-high,15,0.7596328328345161,0.13773465768960974,0.50199203187251,0.9247967479674797,0.6907655039897113
hepatic,lgbm_binary,aggressive_longitudinal,moderate-high,15,0.7605601749968594,0.10425401029565858,0.6070640176600441,0.9498546511627907,0.70843316984903
hepatic,catboost_binary,aggressive_longitudinal,moderate-high,15,0.7410539728766742,0.1096942160085363,0.5710080941869021,0.8953488372093024,0.686206864872406
hepatic,xgb_binary,aggressive_longitudinal,moderate-high,15,0.7625843665544118,0.10707884678757854,0.5767441860465117,0.9462209302325582,0.7090449431606225
death,rsf,aggressive_longitudinal,moderate-high,15,0.8847977828597061,0.033222854570763974,0.8361581920903954,0.9378407851690295,0.8681863555743241
death,xgb_cox,aggressive_longitudinal,moderate-high,15,0.8792837887948682,0.032671374365030904,0.8223495702005731,0.9236641221374046,0.8629481016123528
death,lgbm_binary,aggressive_longitudinal,moderate-high,15,0.7737339179097114,0.056111427809379964,0.664756446991404,0.8747186796699175,0.7456782040050214
death,catboost_binary,aggressive_longitudinal,moderate-high,15,0.7460588989801273,0.06415425269074304,0.6103151862464183,0.859714928732183,0.7139817726347558
death,xgb_binary,aggressive_longitudinal,moderate-high,15,0.7538646394351244,0.06882141993978376,0.6276595744680851,0.8897280966767371,0.7194539294652325
